,Arthaud,Poutou,Melenchon,Hamon,Macron,DupontAignan,LePen,Cheminade,Asselineau,Fillon,Lassalle
Arthaud,1.0,-0.1663834084626929,-0.16462724439290086,0.11827386760576687,0.030553939573262155,-0.2671775445240699,0.18978050000781027,0.038039247495742695,-0.052497511862974085,-0.011279692104243644,-0.1586219805842746
Poutou,-0.1663834084626929,1.0,0.7466797946275913,-0.6538872067084468,-0.6765641326305675,0.2054962367192325,-0.6591724775747867,0.002623287363121244,0.3943087090736231,-0.10325374256812184,0.3153220415048337
Melenchon,-0.16462724439290086,0.7466797946275913,1.0,-0.9205221168345384,-0.626076013596902,0.4099834028536745,-0.8876163469915074,0.0913246726054175,0.5575743511500711,-0.13521046081429453,0.4720865732557496
Hamon,0.11827386760576687,-0.6538872067084468,-0.9205221168345384,1.0,0.4664002351539115,-0.5736338764048297,0.805330327778096,-0.08467456884506382,-0.613896169703944,0.1381372790007659,-0.5339653656295595
Macron,0.030553939573262155,-0.6765641326305675,-0.626076013596902,0.4664002351539115,1.0,0.031049626098361958,0.5789023630240213,-0.06797156913844266,-0.30939304407129603,-0.3742878594440595,-0.3673443988912644
DupontAignan,-0.2671775445240699,0.2054962367192325,0.4099834028536745,-0.5736338764048297,0.031049626098361958,1.0,-0.3517384892382287,0.04624841155189985,0.2824813031612862,-0.47741492397262847,0.30232533269968437
LePen,0.18978050000781027,-0.6591724775747867,-0.8876163469915074,0.805330327778096,0.5789023630240213,-0.3517384892382287,1.0,-0.11407038590907653,-0.62087968229777,-0.0453576792757963,-0.5830849247563127
Cheminade,0.038039247495742695,0.002623287363121244,0.0913246726054175,-0.08467456884506382,-0.06797156913844266,0.04624841155189985,-0.11407038590907653,1.0,0.05206265680543902,-0.03916691614305295,0.046914612860661606
Asselineau,-0.052497511862974085,0.3943087090736231,0.5575743511500711,-0.613896169703944,-0.30939304407129603,0.2824813031612862,-0.62087968229777,0.05206265680543902,1.0,-0.15373157661357303,0.5128561459825436
Fillon,-0.011279692104243644,-0.10325374256812184,-0.13521046081429453,0.1381372790007659,-0.3742878594440595,-0.47741492397262847,-0.0453576792757963,-0.03916691614305295,-0.15373157661357303,1.0,-0.046999919770537635
Lassalle,-0.1586219805842746,0.3153220415048337,0.4720865732557496,-0.5339653656295595,-0.3673443988912644,0.30232533269968437,-0.5830849247563127,0.046914612860661606,0.5128561459825436,-0.046999919770537635,1.0
